Ad name,Text,By Day,Cost,CPC (destination),CPM,Impressions,Clicks (destination),CTR (destination),Reach,"Cost per 1,000 people reached",Video views at 25%,Video views at 50%,Conversions,Repeat Impact
stunt 2,"📢 ¡Atención, CDMX! $5000 YA están escondidos en Chapultepec 🏆 ¿Listos para la búsqueda? Las pistas están en este video… ¡El primero en encontrarlo se lo lleva! 🔍💸 #CDMX #EncuentraElTesoro #DineroEscondido #Beloz #RetoFinanciero #Chapultepec #Gana5000 #DineroExtra #Suerte #QuijoteEnChapultepec",2025-03-13,0.0,1.0,0.7757633142941049,0.19917799348473933,0.0,0.0,0.1985227233867934,0.772329694600146,0.24813968908863188,0.4911410997888551,0.0,0.1960314859057134
qué harías 4 (target),🫰 ¿Qué harías con un préstamo de $750? 🫰,2025-02-19,0.10128894427630397,0.9942730298377678,0.9605088572710423,0.9999999999999998,0.849112426035503,0.011378428561044845,1.0,0.9600342623994247,0.7487659323657261,0.781878270448912,0.8872549019607843,0.9800868758268013
gimnasio,¡Beloz es tu mejor aliado financiero! Tu primer préstamo de 750 pesos SIN INTERESES🥳,2025-02-18,0.16742389175716565,0.9918717743287809,0.9483384117815756,0.7114585329430342,0.5542406311637081,0.01043911137528778,0.7176760250316315,0.9481782256251755,1.0,1.0,0.6078431372549019,0.6895130346647711
señora gorro rosa gorro rosa,No Text,2025-02-23,0.32781555990742384,0.9884748378526217,0.9688923008189176,0.9445079524504911,0.31558185404339256,0.00447737178276329,0.9329343774578533,0.9681174400462647,0.5102777573123113,0.41090608647755433,0.28431372549019607,0.9401784903350642
señora gorro rosa gorro rosa,No Text,2025-02-27,0.3370696101121594,0.9860104681986763,0.9444845452470583,0.5277162888123854,0.25641025641025644,0.006510987291053468,0.5170604931094621,0.942644228116695,0.24360863478965594,0.2349215092261085,0.28921568627450983,0.5305383010510659
san valentin,Feliz día del amor y la amistad 🌷💕,2025-03-08,0.3660957806658358,0.9905744656024352,0.9379388841692051,0.4520573290074469,0.36390532544378706,0.010787108090331067,0.43431248503915465,0.9345959817930299,0.097141383629264,0.0893234187092628,0.22058823529411767,0.46525440796098483
san valentin,Feliz día del amor y la amistad 🌷💕,2025-03-07,0.39967954424069785,0.9902838930492328,0.9509201873404078,0.539544196065734,0.334319526627219,0.008303226991610756,0.5289539376944911,0.949320624827491,0.1480512782730421,0.128798310841825,0.21078431372549022,0.5420486899520209
señora gorro rosa gorro rosa,No Text,2025-03-06,0.4241160761972582,0.990624077555269,0.9631467730655929,0.6856882322234481,0.33234714003944776,0.006495008287399023,0.6835276818383887,0.9625833001509818,0.4298975908052753,0.39346369227944544,0.26960784313725494,0.6747369044563348
señora gorro rosa gorro rosa,No Text,2025-02-20,0.4427523589104503,0.9895293310397022,0.9436139409725139,0.43683302827464526,0.2879684418145957,0.00883362829181218,0.42987381595595525,0.9420007878457174,0.29197671848522805,0.24456072707243182,0.2303921568627451,0.4368403525052487
señora gorro rosa gorro rosa,No Text,2025-02-26,0.4429909204201531,0.9867124937570286,0.9457105019262918,0.45326655081044287,0.22682445759368838,0.0067057348610743564,0.4493930171323052,0.9445786531334012,0.22717895822588968,0.1980170751858992,0.25980392156862747,0.44908642170316115
